policy,trial,day,success_probability
frozen,0,0,0.896815
frozen,0,1,0.865014
frozen,0,2,0.834387
frozen,0,3,0.804890
frozen,0,4,0.776481
frozen,0,5,0.749121
frozen,0,6,0.722771
frozen,0,7,0.697394
frozen,0,8,0.672953
frozen,0,9,0.649414
frozen,0,10,0.626744
frozen,0,11,0.604911
frozen,0,12,0.583883
frozen,0,13,0.563631
frozen,0,14,0.544127
frozen,0,15,0.525343
frozen,0,16,0.507252
frozen,0,17,0.489829
frozen,0,18,0.473049
frozen,0,19,0.456888
frozen,0,20,0.441324
frozen,0,21,0.396334
frozen,0,22,0.381897
frozen,0,23,0.367993
frozen,0,24,0.354602
frozen,0,25,0.341706
frozen,0,26,0.329285
frozen,0,27,0.317323
frozen,0,28,0.305803
frozen,0,29,0.294707
frozen,0,30,0.284021
frozen,0,31,0.273730
frozen,0,32,0.263818
frozen,0,33,0.254272
frozen,0,34,0.245079
frozen,0,35,0.236225
frozen,0,36,0.227697
frozen,0,37,0.219484
frozen,0,38,0.211575
frozen,0,39,0.203957
frozen,0,40,0.196621
frozen,0,41,0.189555
frozen,0,42,0.182750
frozen,0,43,0.131196
frozen,0,44,0.124884
frozen,0,45,0.118805
frozen,0,46,0.112951
frozen,0,47,0.107312
frozen,0,48,0.101882
frozen,0,49,0.096652
frozen,0,50,0.091615
frozen,0,51,0.086764
frozen,0,52,0.082092
frozen,0,53,0.077592
frozen,0,54,0.073259
frozen,0,55,0.069085
frozen,0,56,0.065066
frozen,0,57,0.061194
frozen,0,58,0.057466
frozen,0,59,0.053875
frozen,0,60,0.050417
frozen,1,0,0.893372
frozen,1,1,0.867428
frozen,1,2,0.842284
frozen,1,3,0.817916
frozen,1,4,0.794300
frozen,1,5,0.771412
frozen,1,6,0.749231
frozen,1,7,0.727734
frozen,1,8,0.706900
frozen,1,9,0.686709
frozen,1,10,0.667142
frozen,1,11,0.648178
frozen,1,12,0.629799
frozen,1,13,0.611987
frozen,1,14,0.594725
frozen,1,15,0.577995
frozen,1,16,0.561782
frozen,1,17,0.546068
frozen,1,18,0.530840
frozen,1,19,0.516082
frozen,1,20,0.501779
frozen,1,21,0.457917
frozen,1,22,0.444483
frozen,1,23,0.431463
frozen,1,24,0.418845
frozen,1,25,0.406617
frozen,1,26,0.394766
frozen,1,27,0.383280
frozen,1,28,0.372149
frozen,1,29,0.361361
frozen,1,30,0.350907
frozen,1,31,0.340774
frozen,1,32,0.330955
frozen,1,33,0.321438
frozen,1,34,0.312215
frozen,1,35,0.303277
frozen,1,36,0.294614
frozen,1,37,0.286219
frozen,1,38,0.278082
frozen,1,39,0.270197
frozen,1,40,0.262555
frozen,1,41,0.255149
frozen,1,42,0.247971
frozen,1,43,0.196015
frozen,1,44,0.189274
frozen,1,45,0.182740
frozen,1,46,0.176408
frozen,1,47,0.170272
frozen,1,48,0.164325
frozen,1,49,0.158561
frozen,1,50,0.152975
frozen,1,51,0.147561
frozen,1,52,0.142315
frozen,1,53,0.137230
frozen,1,54,0.132303
frozen,1,55,0.127527
frozen,1,56,0.122899
frozen,1,57,0.118413
frozen,1,58,0.114066
frozen,1,59,0.109853
frozen,1,60,0.105770
frozen,2,0,0.909433
frozen,2,1,0.881402
frozen,2,2,0.854274
frozen,2,3,0.828022
frozen,2,4,0.802616
frozen,2,5,0.778030
frozen,2,6,0.754236
frozen,2,7,0.731209
frozen,2,8,0.708925
frozen,2,9,0.687360
frozen,2,10,0.666489
frozen,2,11,0.646292
frozen,2,12,0.626747
frozen,2,13,0.607831
frozen,2,14,0.589525
frozen,2,15,0.571810
frozen,2,16,0.554666
frozen,2,17,0.538075
frozen,2,18,0.522018
frozen,2,19,0.506480
frozen,2,20,0.491442
frozen,2,21,0.446890
frozen,2,22,0.432807
frozen,2,23,0.419177
frozen,2,24,0.405988
frozen,2,25,0.393223
frozen,2,26,0.380871
frozen,2,27,0.368916
frozen,2,28,0.357347
